text,Media,Link,Label
"Arema FC Kalah Lagi, Arkhan Fikri Ungkap Faktor Kekurangan dan Siap Evaluasi",kompas.com,https://bola.kompas.com/read/2025/01/24/23472868/arema-fc-kalah-lagi-arkhan-fikri-ungkap-faktor-kekurangan-dan-siap-evaluasi,Olahraga Non Sepak Bola
"Klasemen Sementara Liga 1: Persib Jauh di Depan, Madura United Terpuruk",kompas.com,https://bola.kompas.com/read/2025/01/24/23433988/klasemen-sementara-liga-1-persib-jauh-di-depan-madura-united-terpuruk,Liga Indonesia
Alasan Jens Raven Absen dari laga Timnas U20 Indonesia Vs Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/23123278/alasan-jens-raven-absen-dari-laga-timnas-u20-indonesia-vs-yordania,Liga Indonesia
Peluang Baru Atlet Bisbol Indonesia Berprestasi di Kancah Dunia,kompas.com,https://www.kompas.com/sports/read/2025/01/24/23040048/peluang-baru-atlet-bisbol-indonesia-berprestasi-di-kancah-dunia,Liga Indonesia
"Cetak Brace di Persib Vs Arema, Tyronne Del Pino: Setiap Laga seperti Final",kompas.com,https://bola.kompas.com/read/2025/01/24/22584748/cetak-brace-di-persib-vs-arema-tyronne-del-pino-setiap-laga-seperti-final,Liga Indonesia
Mantan Pelatih AC Milan Paulo Fonseca Didenda 10.000 Euro karena Kritik Wasit,kompas.com,https://bola.kompas.com/read/2025/01/24/22431108/mantan-pelatih-ac-milan-paulo-fonseca-didenda-10000-euro-karena-kritik-wasit,Liga Italia
Drama Marcus Rashford dan Ketidakpastian Masa Depannya di MU,kompas.com,https://bola.kompas.com/read/2025/01/24/22282508/drama-marcus-rashford-dan-ketidakpastian-masa-depannya-di-mu,Liga Inggris
"Timnas U20 Indonesia Vs Yordania 0-1, Galeri Foto Aksi Dony Tri dkk.",kompas.com,https://bola.kompas.com/read/2025/01/24/22111898/timnas-u20-indonesia-vs-yordania-0-1-galeri-foto-aksi-dony-tri-dkk,Liga Indonesia
112 Pesepak Bola Putri Bakal Bersaing di Perang Bintang di Kudus,kompas.com,https://bola.kompas.com/read/2025/01/24/22060098/112-pesepak-bola-putri-bakal-bersaing-di-perang-bintang-di-kudus-,Olahraga Non Sepak Bola
"Bantah Rumor, Ancelotti: Vinicius Junior Bahagia di Real Madrid",kompas.com,https://bola.kompas.com/read/2025/01/24/21595308/bantah-rumor-ancelotti-vinicius-junior-bahagia-di-real-madrid,Liga Spanyol
