text,Media,Link
Resmi! Kyle Walker Jadi Pemain AC Milan,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7749014/resmi-kyle-walker-jadi-pemain-ac-milan
Arsenal Tak Mau Asal Rekrut Pemain,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748961/arsenal-tak-mau-asal-rekrut-pemain
Napoli Vs Juventus: Kolo Muani Langsung Debut?,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748958/napoli-vs-juventus-kolo-muani-langsung-debut
Man City Perlakukan Laga Melawan Club Brugge seperti Final,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748957/man-city-perlakukan-laga-melawan-club-brugge-seperti-final
Bruno Fernandes: Jangan Sampai Suporter MU Biasa Kalah di Kandang!,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748448/bruno-fernandes-jangan-sampai-suporter-mu-biasa-kalah-di-kandang
Vlahovic Dinilai Cocok Untuk Arsenal,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748712/vlahovic-dinilai-cocok-untuk-arsenal
Man City Sedang Enggak Pede,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748713/man-city-sedang-enggak-pede
Setajam Ini Barcelona-nya Hansi Flick,kompas.com,https://sport.detik.com/sepakbola/liga-spanyol/d-7748710/setajam-ini-barcelona-nya-hansi-flick
Rio Ferdinand: MU Punya Peluang Besar Juara Liga Europa,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748704/rio-ferdinand-mu-punya-peluang-besar-juara-liga-europa
Indonesia U-20 Vs Yordania U-20: Garuda Muda Kalah 0-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748875/indonesia-u-20-vs-yordania-u-20-garuda-muda-kalah-0-1
Prioritas Liverpool Sepertinya Juara Premier League,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748706/prioritas-liverpool-sepertinya-juara-premier-league
Persita Vs Madura United Selesai 1-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748848/persita-vs-madura-united-selesai-1-1
"Jelang 10 Tahun Son Heung-min di Tottenham: Ratusan Gol, 0 Trofi",kompas.com,https://sport.detik.com/sepakbola/foto-sepakbola/d-7748651/jelang-10-tahun-son-heung-min-di-tottenham-ratusan-gol-0-trofi
"Malam Horor Maccabi Tel Aviv di Norwegia: Didemo, Disindir, Kalah",kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748650/malam-horor-maccabi-tel-aviv-di-norwegia-didemo-disindir-kalah
Curtis Jones Tambah Daftar Cedera Liverpool,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748649/curtis-jones-tambah-daftar-cedera-liverpool
Alejandro Garnacho Sudah Mainkan Laga Terakhirnya di MU?,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748307/alejandro-garnacho-sudah-mainkan-laga-terakhirnya-di-mu
Malut United Diharapkan Bisa Lebih Konsisten,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748446/malut-united-diharapkan-bisa-lebih-konsisten
"Video: Mantan Asisten Ten Hag Latih Timnas Indonesia U-23, Ini Profilnya",kompas.com,https://20.detik.com/detikupdate/20250124-250124125/video-mantan-asisten-ten-hag-latih-timnas-indonesia-u-23-ini-profilnya
"Timnas U-20 Sempat Agendakan Uji Coba di China, tapi...",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748431/timnas-u-20-sempat-agendakan-uji-coba-di-china-tapi
Timnas Jerman Perpanjang Kontrak Julian Nagelsmann hingga 2028,kompas.com,https://sport.detik.com/sepakbola/bola-dunia/d-7748568/timnas-jerman-perpanjang-kontrak-julian-nagelsmann-hingga-2028
"Septian Bagaskara, Striker Dewa United yang Mulai Tunjukkan Taji",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748433/septian-bagaskara-striker-dewa-united-yang-mulai-tunjukkan-taji
Napoli Vs Juventus: Conte Tepikan Nostalgia dengan Si Nyonya Tua,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748309/napoli-vs-juventus-conte-tepikan-nostalgia-dengan-si-nyonya-tua
Cerita Marselino Ferdinan Dapat Sambutan Hangat di Oxford United,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748304/cerita-marselino-ferdinan-dapat-sambutan-hangat-di-oxford-united
Erick Thohir Harap Gerald Vanenburg Bawa Timnas U-23 ke Olimpiade,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748566/erick-thohir-harap-gerald-vanenburg-bawa-timnas-u-23-ke-olimpiade
Jadwal Liga Italia Pekan Ini: Duel Napoli Vs Juventus,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748149/jadwal-liga-italia-pekan-ini-duel-napoli-vs-juventus
Hasil Liga 1: Persib Bandung Kalahkan Arema 2-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748487/hasil-liga-1-persib-bandung-kalahkan-arema-2-1
Gerald Vanenburg Ditunjuk Jadi Pelatih Timnas Indonesia U-23,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748471/gerald-vanenburg-ditunjuk-jadi-pelatih-timnas-indonesia-u-23
PSS: Pemulihan Kim Kurniawan Berjalan Lebih Cepat,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748144/pss-pemulihan-kim-kurniawan-berjalan-lebih-cepat
"Video Marmoush Siap Main di Posisi Mana pun di City, Tapi...",kompas.com,https://20.detik.com/detikupdate/20250124-250124110/video-marmoush-siap-main-di-posisi-mana-pun-di-city-tapi
'Finishing Bruno Fernandes Luar Biasa!',kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748142/finishing-bruno-fernandes-luar-biasa
Jadwal Liga Inggris Akhir Pekan Ini: Man City Vs Chelsea,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748078/jadwal-liga-inggris-akhir-pekan-ini-man-city-vs-chelsea
'Bukan Garnacho yang Mulai Spekulasi Tinggalkan MU',kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748074/bukan-garnacho-yang-mulai-spekulasi-tinggalkan-mu
"Randal Kolo Muani ke Juventus, Tergoda Tawaran Thiago Motta",kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748071/randal-kolo-muani-ke-juventus-tergoda-tawaran-thiago-motta
Sudah Saatnya Bayindir Jadi Kiper Utama MU?,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748047/sudah-saatnya-bayindir-jadi-kiper-utama-mu
Pose Pesepakbola Palestina dengan Tropi di Reruntuhan Rumahnya,kompas.com,https://sport.detik.com/sepakbola/foto-sepakbola/d-7747699/pose-pesepakbola-palestina-dengan-tropi-di-reruntuhan-rumahnya
Van Nistelrooy Mau Mundur dari Leicester?,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748044/van-nistelrooy-mau-mundur-dari-leicester
Kejutan Bursa Transfer Musim Dingin Hingga Kisah Di Balik Jersey Timnas,kompas.com,https://sport.detik.com/sepakbola/bola-dunia/d-7748109/kejutan-bursa-transfer-musim-dingin-hingga-kisah-di-balik-jersey-timnas
MU Vs Rangers: Pujian Untuk Toby Collyer,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747902/mu-vs-rangers-pujian-untuk-toby-collyer
"Jika Gabung Milan, Walker Tak Bisa Langsung Main Gegara Brexit",kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7747904/jika-gabung-milan-walker-tak-bisa-langsung-main-gegara-brexit
Menpora: Pengambilan Sumpah Ole Romeny Dilakukan Bulan Ini,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747986/menpora-pengambilan-sumpah-ole-romeny-dilakukan-bulan-ini
Timnas Indonesia U-17 Persiapan di Yogya dan Luar Negeri Jelang Piala Asia,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747901/timnas-indonesia-u-17-persiapan-di-yogya-dan-luar-negeri-jelang-piala-asia
